"Step","CartPole_env_reward_99_MIDI3_tmux1 - global_step","CartPole_env_reward_99_MIDI3_tmux1 - global_step__MIN","CartPole_env_reward_99_MIDI3_tmux1 - global_step__MAX","CartPole_env_reward_20240422_232316 - global_step","CartPole_env_reward_20240422_232316 - global_step__MIN","CartPole_env_reward_20240422_232316 - global_step__MAX"
"411","2636800","2636800","2636800","2636800","2636800","2636800"
"412","2643200","2643200","2643200","2643200","2643200","2643200"
"413","2649600","2649600","2649600","2649600","2649600","2649600"
"414","2656000","2656000","2656000","2656000","2656000","2656000"
"415","2662400","2662400","2662400","2662400","2662400","2662400"
"416","2668800","2668800","2668800","2668800","2668800","2668800"
"417","2675200","2675200","2675200","2675200","2675200","2675200"
"418","2681600","2681600","2681600","2681600","2681600","2681600"
"419","2688000","2688000","2688000","2688000","2688000","2688000"
"420","2694400","2694400","2694400","2694400","2694400","2694400"
"421","2700800","2700800","2700800","2700800","2700800","2700800"
"422","2707200","2707200","2707200","2707200","2707200","2707200"
"423","2713600","2713600","2713600","2713600","2713600","2713600"
"424","2720000","2720000","2720000","2720000","2720000","2720000"
"425","2726400","2726400","2726400","2726400","2726400","2726400"
"426","2732800","2732800","2732800","2732800","2732800","2732800"
"427","2739200","2739200","2739200","2739200","2739200","2739200"
"428","2745600","2745600","2745600","2745600","2745600","2745600"
"429","2752000","2752000","2752000","2752000","2752000","2752000"
"430","2758400","2758400","2758400","2758400","2758400","2758400"
"431","2764800","2764800","2764800","2764800","2764800","2764800"
"432","2771200","2771200","2771200","2771200","2771200","2771200"
"433","2777600","2777600","2777600","2777600","2777600","2777600"
"434","2784000","2784000","2784000","2784000","2784000","2784000"
"435","2790400","2790400","2790400","2790400","2790400","2790400"
"436","2796800","2796800","2796800","2796800","2796800","2796800"
"437","2803200","2803200","2803200","2803200","2803200","2803200"
"438","2809600","2809600","2809600","2809600","2809600","2809600"
"439","2816000","2816000","2816000","2816000","2816000","2816000"
"440","2822400","2822400","2822400","2822400","2822400","2822400"
"441","2828800","2828800","2828800","2828800","2828800","2828800"
"442","2835200","2835200","2835200","2835200","2835200","2835200"
"443","2841600","2841600","2841600","2841600","2841600","2841600"
"444","2848000","2848000","2848000","2848000","2848000","2848000"
"445","2854400","2854400","2854400","2854400","2854400","2854400"
"446","2860800","2860800","2860800","2860800","2860800","2860800"
"447","2867200","2867200","2867200","2867200","2867200","2867200"
"448","2873600","2873600","2873600","2873600","2873600","2873600"
"449","2880000","2880000","2880000","2880000","2880000","2880000"
"450","2886400","2886400","2886400","2886400","2886400","2886400"
